"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Негативный тест авторизации","898","Негативный тест авторизации [1] , secret_sauce, Epic sadface: Username is required","","Fri Jun 13 14:28:53 GMT 2025","passed","Fri Jun 13 14:28:53 GMT 2025","","saucedemoTests.TestAuthorization","saucedemoTests.TestAuthorization","negativeTestAuthorization"
"Тестирование критически важного функционала (от входа в систему до оформления покупки","32670","Сквозной тест для функционала интернет-магазина","","Fri Jun 13 14:28:09 GMT 2025","broken","Fri Jun 13 14:28:42 GMT 2025","","saucedemoTests.E2eTest","saucedemoTests.E2eTest","FullTest"
"","900","Позетивный тест авторизации [3] problem_user","","Fri Jun 13 14:28:44 GMT 2025","passed","Fri Jun 13 14:28:45 GMT 2025","","saucedemoTests.TestAuthorization","saucedemoTests.TestAuthorization","positiveTestAuthorization"
"Негативный тест авторизации","857","Негативный тест авторизации [3] locked_out_user, select, Epic sadface: Username and password do not match any user in this service","","Fri Jun 13 14:28:54 GMT 2025","passed","Fri Jun 13 14:28:55 GMT 2025","","saucedemoTests.TestAuthorization","saucedemoTests.TestAuthorization","negativeTestAuthorization"
"","1119","Позетивный тест авторизации [1] standard_user","","Fri Jun 13 14:28:42 GMT 2025","passed","Fri Jun 13 14:28:43 GMT 2025","","saucedemoTests.TestAuthorization","saucedemoTests.TestAuthorization","positiveTestAuthorization"
"","5894","Позетивный тест авторизации [4] performance_glitch_user","","Fri Jun 13 14:28:45 GMT 2025","passed","Fri Jun 13 14:28:51 GMT 2025","","saucedemoTests.TestAuthorization","saucedemoTests.TestAuthorization","positiveTestAuthorization"
"","898","Позетивный тест авторизации [2] locked_out_user","","Fri Jun 13 14:28:43 GMT 2025","broken","Fri Jun 13 14:28:44 GMT 2025","","saucedemoTests.TestAuthorization","saucedemoTests.TestAuthorization","positiveTestAuthorization"
"","945","Позетивный тест авторизации [5] error_user","","Fri Jun 13 14:28:51 GMT 2025","passed","Fri Jun 13 14:28:52 GMT 2025","","saucedemoTests.TestAuthorization","saucedemoTests.TestAuthorization","positiveTestAuthorization"
"Негативный тест авторизации","860","Негативный тест авторизации [4] locked_out_user, <script>, Epic sadface: Username and password do not match any user in this service","","Fri Jun 13 14:28:55 GMT 2025","passed","Fri Jun 13 14:28:56 GMT 2025","","saucedemoTests.TestAuthorization","saucedemoTests.TestAuthorization","negativeTestAuthorization"
"","863","Позетивный тест авторизации [6] visual_user","","Fri Jun 13 14:28:52 GMT 2025","passed","Fri Jun 13 14:28:53 GMT 2025","","saucedemoTests.TestAuthorization","saucedemoTests.TestAuthorization","positiveTestAuthorization"
"Негативный тест авторизации","824","Негативный тест авторизации [2] standard_user, , Epic sadface: Password is required","","Fri Jun 13 14:28:53 GMT 2025","passed","Fri Jun 13 14:28:54 GMT 2025","","saucedemoTests.TestAuthorization","saucedemoTests.TestAuthorization","negativeTestAuthorization"
